Date;Open;High;Low;Close ;Adj Close ;Volume
Dec 5, 2023;7,093.06;7,117.58;7,047.63;7,100.85;7,100.85;319,577,000
Dec 4, 2023;7,060.04;7,149.24;7,060.04;7,093.60;7,093.60;308,380,600
Dec 1, 2023;7,080.06;7,083.86;7,022.77;7,059.91;7,059.91;265,990,100
Nov 30, 2023;7,036.09;7,109.61;7,036.09;7,080.74;7,080.74;259,745,500
Nov 29, 2023;7,041.07;7,070.19;7,020.01;7,036.09;7,036.09;167,555,900
Nov 28, 2023;7,013.41;7,067.14;7,010.83;7,041.07;7,041.07;167,633,600
Nov 27, 2023;7,009.63;7,061.83;7,008.81;7,013.41;7,013.41;163,462,500
Nov 24, 2023;7,004.48;7,049.54;7,000.10;7,009.63;7,009.63;181,146,200
Nov 23, 2023;6,907.09;7,018.43;6,906.61;7,004.34;7,004.34;219,080,000
Nov 22, 2023;6,961.79;6,965.41;6,893.51;6,906.95;6,906.95;181,914,600
Nov 21, 2023;6,994.89;7,010.98;6,946.96;6,961.79;6,961.79;160,615,900
Nov 20, 2023;6,977.67;7,011.06;6,962.75;6,994.89;6,994.89;150,491,900
Nov 17, 2023;6,958.15;6,977.67;6,919.63;6,977.67;6,977.67;122,926,700
Nov 16, 2023;6,958.34;6,964.17;6,906.59;6,958.01;6,958.01;122,880,300
Nov 15, 2023;6,862.33;6,985.59;6,862.33;6,958.21;6,958.21;181,839,600
Nov 14, 2023;6,838.04;6,886.81;6,829.95;6,862.06;6,862.06;152,609,900
Nov 13, 2023;6,809.26;6,857.10;6,809.26;6,838.31;6,838.31;187,630,200
Nov 10, 2023;6,838.23;6,843.96;6,801.92;6,809.26;6,809.26;133,618,500
Nov 9, 2023;6,804.11;6,865.08;6,793.76;6,838.23;6,838.23;120,495,400
Nov 8, 2023;6,843.65;6,843.92;6,760.10;6,804.11;6,804.11;151,412,300
Nov 7, 2023;6,878.84;6,887.02;6,806.88;6,843.79;6,843.79;193,087,900
Nov 6, 2023;6,788.85;6,878.84;6,787.23;6,878.84;6,878.84;228,787,500
Nov 3, 2023;6,751.39;6,826.62;6,748.70;6,788.85;6,788.85;231,714,900
Nov 2, 2023;6,642.69;6,785.00;6,642.69;6,751.39;6,751.39;221,191,100
Nov 1, 2023;6,751.94;6,773.98;6,639.82;6,642.42;6,642.42;206,571,400
Oct 31, 2023;6,735.89;6,754.52;6,666.41;6,752.21;6,752.21;195,489,700
Oct 30, 2023;6,758.66;6,775.21;6,692.78;6,735.89;6,735.89;157,763,400
Oct 27, 2023;6,714.52;6,781.39;6,713.94;6,758.79;6,758.79;163,096,100
Oct 26, 2023;6,833.98;6,838.81;6,704.52;6,714.52;6,714.52;168,306,200
Oct 25, 2023;6,806.90;6,878.56;6,806.90;6,834.39;6,834.39;153,802,700
Oct 24, 2023;6,741.83;6,826.05;6,738.53;6,806.76;6,806.76;141,478,700
Oct 23, 2023;6,849.17;6,853.45;6,730.88;6,741.96;6,741.96;168,543,100
Oct 20, 2023;6,846.43;6,869.47;6,803.19;6,849.17;6,849.17;194,064,800
Oct 19, 2023;6,927.63;6,927.98;6,840.37;6,846.43;6,846.43;205,941,400
Oct 18, 2023;6,939.62;6,968.25;6,908.29;6,927.91;6,927.91;187,464,900
Oct 17, 2023;6,896.29;6,948.04;6,892.23;6,939.62;6,939.62;176,866,700
Oct 16, 2023;6,926.92;6,970.60;6,878.26;6,896.29;6,896.29;341,572,100
Oct 13, 2023;6,934.88;6,973.75;6,902.06;6,926.78;6,926.78;216,335,000
Oct 12, 2023;6,931.89;6,986.88;6,931.89;6,935.15;6,935.15;218,808,900
Oct 11, 2023;6,922.19;6,965.83;6,914.72;6,931.75;6,931.75;178,123,100
Oct 10, 2023;6,891.46;6,954.01;6,891.46;6,922.19;6,922.19;123,670,000
Oct 9, 2023;6,888.52;6,929.97;6,880.54;6,891.46;6,891.46;139,709,000
Oct 6, 2023;6,875.10;6,913.01;6,875.10;6,888.52;6,888.52;142,303,700
Oct 5, 2023;6,886.99;6,934.80;6,874.83;6,874.83;6,874.83;167,955,300
Oct 4, 2023;6,940.89;6,943.27;6,839.86;6,886.58;6,886.58;196,090,300
Oct 3, 2023;6,961.46;6,992.63;6,940.89;6,940.89;6,940.89;167,668,900
Oct 2, 2023;6,939.89;6,984.58;6,939.61;6,961.46;6,961.46;157,872,500
Sep 29, 2023;6,937.83;6,978.59;6,937.83;6,939.89;6,939.89;165,659,400
Sep 27, 2023;6,923.80;6,970.85;6,913.35;6,937.83;6,937.83;154,929,800
Sep 26, 2023;6,998.10;7,019.55;6,913.82;6,923.80;6,923.80;222,491,300
Sep 25, 2023;7,016.98;7,029.77;6,994.44;6,998.38;6,998.38;182,991,900
Sep 22, 2023;6,991.47;7,040.13;6,985.96;7,016.84;7,016.84;155,659,000
Sep 21, 2023;7,011.68;7,021.29;6,974.01;6,991.47;6,991.47;138,027,800
Sep 20, 2023;6,980.32;7,046.48;6,980.32;7,011.68;7,011.68;146,616,600
Sep 19, 2023;6,936.37;6,994.04;6,934.71;6,980.32;6,980.32;135,442,200
Sep 18, 2023;6,982.79;6,999.40;6,928.77;6,936.08;6,936.08;153,763,100
Sep 15, 2023;6,959.19;7,011.88;6,945.07;6,982.79;6,982.79;346,903,000
Sep 14, 2023;6,935.33;6,968.98;6,927.68;6,959.33;6,959.33;171,813,100
Sep 13, 2023;6,934.11;6,944.82;6,903.23;6,935.48;6,935.48;163,898,700
Sep 12, 2023;6,963.39;6,976.48;6,928.23;6,933.97;6,933.97;174,683,500
Sep 11, 2023;6,924.78;6,963.39;6,904.36;6,963.39;6,963.39;174,103,700
Sep 8, 2023;6,954.81;6,966.77;6,900.59;6,924.78;6,924.78;140,402,900
Sep 7, 2023;6,996.10;7,003.67;6,927.42;6,954.81;6,954.81;191,159,400
Sep 6, 2023;6,991.71;7,020.97;6,989.79;6,995.95;6,995.95;165,422,100
Sep 5, 2023;6,996.75;7,014.48;6,972.63;6,991.71;6,991.71;183,173,900
Sep 4, 2023;6,977.80;7,007.80;6,974.82;6,996.75;6,996.75;154,577,900
Sep 1, 2023;6,953.26;6,992.63;6,950.26;6,977.65;6,977.65;145,790,000
Aug 31, 2023;6,966.66;6,982.35;6,924.23;6,953.26;6,953.26;233,127,700
Aug 30, 2023;6,958.26;7,008.49;6,958.26;6,966.66;6,966.66;159,326,300
Aug 29, 2023;6,921.73;6,964.73;6,921.73;6,957.83;6,957.83;244,345,800
Aug 28, 2023;6,895.87;6,940.12;6,895.87;6,921.73;6,921.73;185,488,900
Aug 25, 2023;6,899.39;6,906.08;6,869.63;6,895.44;6,895.44;129,994,800
Aug 24, 2023;6,921.41;6,937.65;6,898.39;6,899.39;6,899.39;142,846,200
Aug 23, 2023;6,916.45;6,959.43;6,916.45;6,921.41;6,921.41;170,674,700
Aug 22, 2023;6,866.03;6,927.45;6,860.69;6,916.45;6,916.45;158,573,900
Aug 21, 2023;6,860.05;6,890.28;6,859.42;6,866.03;6,866.03;207,708,300
Aug 18, 2023;6,899.83;6,899.83;6,856.38;6,859.91;6,859.91;130,737,900
Aug 16, 2023;6,915.10;6,915.10;6,855.89;6,900.54;6,900.54;152,291,200
Aug 15, 2023;6,910.46;6,928.63;6,898.38;6,915.10;6,915.10;172,760,000
Aug 14, 2023;6,879.98;6,910.17;6,823.75;6,910.17;6,910.17;138,804,900
Aug 11, 2023;6,893.28;6,906.65;6,865.11;6,879.98;6,879.98;130,736,700
Aug 10, 2023;6,875.11;6,910.75;6,875.11;6,893.28;6,893.28;162,734,000
Aug 9, 2023;6,868.81;6,901.06;6,863.08;6,875.11;6,875.11;218,491,200
Aug 8, 2023;6,886.51;6,915.05;6,861.63;6,868.81;6,868.81;170,357,400
Aug 7, 2023;6,852.84;6,904.36;6,852.84;6,886.37;6,886.37;134,540,800
Aug 4, 2023;6,898.22;6,925.01;6,850.90;6,852.84;6,852.84;118,791,000
Aug 3, 2023;6,854.51;6,924.05;6,839.74;6,898.08;6,898.08;163,613,400
Aug 2, 2023;6,886.50;6,886.50;6,833.98;6,854.51;6,854.51;183,858,400
Aug 1, 2023;6,931.08;6,934.39;6,880.47;6,886.50;6,886.50;196,062,700
Jul 31, 2023;6,900.23;6,931.36;6,895.07;6,931.36;6,931.36;171,457,600
Jul 28, 2023;6,896.81;6,904.10;6,857.37;6,900.23;6,900.23;146,686,100
Jul 27, 2023;6,948.28;6,966.17;6,896.66;6,896.66;6,896.66;158,624,100
Jul 26, 2023;6,917.71;6,955.98;6,917.41;6,948.28;6,948.28;149,683,800
Jul 25, 2023;6,897.98;6,944.62;6,897.98;6,917.71;6,917.71;150,504,400
Jul 24, 2023;6,880.80;6,929.68;6,877.95;6,899.40;6,899.40;150,084,400
Jul 21, 2023;6,864.19;6,880.80;6,837.65;6,880.80;6,880.80;131,640,100
Jul 20, 2023;6,830.06;6,874.89;6,828.00;6,864.19;6,864.19;142,032,500
Jul 18, 2023;6,867.14;6,902.14;6,798.43;6,830.20;6,830.20;150,363,000
Jul 17, 2023;6,869.71;6,931.27;6,867.14;6,867.14;6,867.14;176,805,700
Jul 14, 2023;6,810.21;6,874.78;6,810.21;6,869.57;6,869.57;160,702,800
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
