Tahun;Neraca Perdagangan
Jan-15;23404235
Feb-15;31839959
Mar-15;40011597
Apr-15;34885731
May-15;26755221
Jun-15;30594680
Jul-15;24435516
Aug-15;28629025
Sep-15;27135475
Oct-15;37992486
Nov-15;31457808
Dec-15;29605213
Jan-16;24257110
Feb-16;31613807
Mar-16;18948856
Apr-16;32285296
May-16;34495350
Jun-16;39871423
Jul-16;15259860
Aug-16;31688046
Sep-16;31887485
Oct-16;40148824
Nov-16;22740958
Dec-16;31199078
Jan-17;30189945
Feb-17;39718837
Mar-17;47501386
Apr-17;31227381
May-17;40008593
Jun-17;19121494
Jul-17;28498165
Aug-17;31936242
Sep-17;35119932
Oct-17;37375640
Nov-17;33201731
Dec-17;38217513
Jan-18;40954661
Feb-18;34013040
Mar-18;45142183
Apr-18;32471846
May-18;29776588
Jun-18;22039364
Jul-18;20557341
Aug-18;25297525
Sep-18;26986808
Oct-18;32431633
Nov-18;-17884972
Dec-18;36815895
Jan-19;28235549
Feb-19;32537802
Mar-19;34919003
Apr-19;31582432
May-19;36971742
Jun-19;15249492
Jul-19;16176106
Aug-19;22136263
Sep-19;22038764
Oct-19;34505112
Nov-19;27510603
Dec-19;22258337
Jan-20;23447921
Feb-20;38877933
Mar-20;30699212
Apr-20;20921448
May-20;23265228
Jun-20;29219311
Jul-20;29458770
Aug-20;30276818
Sep-20;34520129
Oct-20;36968736
Nov-20;37802937
Dec-20;37031787
Jan-21;30436560
Feb-21;36177621
Mar-21;42280103
Apr-21;41170275
May-21;35744634
Jun-21;36640285
Jul-21;31961306
Aug-21;37284333
Sep-21;38437604
Oct-21;46980993
Nov-21;46305697
Dec-21;48834102
Jan-22;41617210
Feb-22;43500773
Mar-22;47244717
Apr-22;57164441
May-22;41453742
Jun-22;39331696
Jul-22;41765759
Aug-22;42164044
Sep-22;44511064
Oct-22;43396403
Nov-22;44164832
Dec-22;47963008
Jan-23;33914893
Feb-23;41317946
Mar-23;41424272
Apr-23;33846866
May-23;37732476
Jun-23;37865728
Jul-23;37139120
Aug-23;32975518
Sep-23;36457917
Oct-23;42947247
Nov-23;45547330
Dec-23;37784997
